address,total_count,other_count,pistol_count,revolver_count,rifle_count,shotgun_count,year,month,dow,neighborhood,council_district,ward,tract,public_works_division,police_zone,fire_zone,latitude,longitude
"2000 BLOCK WATSON ST PITTSBURGH, PA 15219",2,0,1,0,1,0,2017,8,5,Bluff,6,1,42003010300,3,2,2-1,40.4377808644043,-79.977665873244
"JOHNSTON AVE & GLENWOOD AVE PITTSBURGH, PA 15207",2,1,1,0,0,0,2019,6,1,Hazelwood,5,15,42003562300,3,4,2-13,40.4064716901937,-79.9397228704083
"400 BLOCK E AGNEW AVE PITTSBURGH, PA 15210",2,0,0,0,2,0,2016,1,1,Carrick,4,29,42003290200,3,3,4-12,40.3972688203475,-79.9798514988959
"ALMEDA ST & FEDORA ST PITTSBURGH, PA 15207",2,0,2,0,0,0,2017,2,4,Hazelwood,5,15,42003562300,3,4,2-13,40.4032720142863,-79.9402332687376
"100 BLOCK HAZLETT ST PITTSBURGH, PA 15214",2,0,0,0,0,2,2021,3,6,Northview Heights,1,26,42003260900,1,1,1-13,40.4771220938326,-80.0016475315907
"100 BLOCK MILLBRIDGE ST PITTSBURGH, PA 15210",2,0,2,0,0,0,2015,7,0,Allentown,3,18,42003180300,5,3,4-21,40.421752426669,-79.9958297289367
"ST JOHNS WAY & FISK ST PITTSBURGH, PA 15201",2,2,0,0,0,0,2022,2,1,Central Lawrenceville,7,9,42003090200,2,2,3-3,40.4689257864943,-79.9610784830937
"<100 BLOCK WHARTON CT PITTSBURGH, PA 15203",2,0,2,0,0,0,2016,4,5,South Side Flats,3,16,42003160900,3,3,4-24,40.4296105315065,-79.9681779892639
"FRANKSTOWN AVE & STERRETT ST PITTSBURGH, PA 15208",2,0,2,0,0,0,2017,8,6,Homewood South,9,13,42003130300,2,5,3-17,40.4569078074907,-79.8941483332637
"1900 BLOCK BROWNSVILLE RD PITTSBURGH, PA 15210",2,0,2,0,0,0,2018,10,5,Carrick,4,29,42003290100,3,3,4-12,40.3960603966567,-79.9875088066487
"5300 BLOCK CENTRE AVE PITTSBURGH, PA 15224",2,0,0,1,1,0,2016,10,3,,,,,,4,,,
"EAST OHIO ST & JAMES ST PITTSBURGH, PA 15212",2,0,2,0,0,0,2017,8,6,East Allegheny,1,23,42003563200,1,1,1-6,40.4534856538152,-80.0006045509843
"7000 BLOCK MT VERNON ST PITTSBURGH, PA 15208",2,0,0,0,1,1,2015,5,0,Homewood North,9,13,42003130100,2,5,3-18,40.4625297665184,-79.8995187532851
"5200 BLOCK ROSECREST PL PITTSBURGH, PA 15201",2,0,0,1,1,0,2018,11,3,,,,,,5,,,
"100 BLOCK SMOKEY WOOD DR SWISSVALE, PA 15218",2,0,2,0,0,0,2022,2,1,,,,42003515200,,OSC,3-26,40.424830275263,-79.8764280822921
"5600 BLOCK CENTRE AVE PITTSBURGH, PA 15232",2,0,0,2,0,0,2019,4,3,,,,,,5,,,
"5TH AVE & DIAMOND ST PITTSBURGH, PA 15219",2,0,2,0,0,0,2016,1,4,Central Business District,6,2,42003020100,6,2,2-4,40.4388770534495,-79.9924373197055
"FEDERAL EXTN & PERRYSVILLE AVE PITTSBURGH, PA 15214",2,0,2,0,0,0,2021,9,3,Perry South,6,25,42003261400,1,1,1-10,40.4612230241546,-80.0087609025856
"700 BLOCK N LANG AVE PITTSBURGH, PA 15208",2,0,0,1,0,1,2016,1,4,Homewood South,9,13,42003130300,2,5,3-17,40.4560674525382,-79.8992389478017
"1400 BLOCK MELLON ST PITTSBURGH, PA 15206",2,0,1,0,0,1,2018,10,6,Highland Park,7,11,42003110200,2,5,3-9,40.47793783566,-79.9207644870354
"6800 BLOCK THOMAS BLVD PITTSBURGH, PA 15208",2,0,1,1,0,0,2016,11,2,Point Breeze North,9,14,42003140500,2,4,3-14,40.453731756328,-79.9090233225992
"700 BLOCK N NEGLEY AVE PITTSBURGH, PA 15206",2,0,2,0,0,0,2018,2,2,East Liberty,9,11,42003111300,2,5,3-8,40.4698183744927,-79.9266960314998
"1800 BLOCK LETSCHE ST PITTSBURGH, PA 15214",2,0,1,1,0,0,2021,9,3,,,,,,1,,,
"1300 BLOCK SUPERIOR AVE PITTSBURGH, PA 15212",2,0,2,0,0,0,2016,1,4,Marshall-Shadeland,1,27,42003270400,1,1,1-14,40.4680195268034,-80.0298823861196
"2400 BLOCK E CARSON ST PITTSBURGH, PA 15203",2,0,2,0,0,0,2021,1,6,South Side Flats,3,16,42003160900,3,3,4-24,40.4279555979069,-79.9707882277001
"6400 BLOCK APPLE AVE PITTSBURGH, PA 15206",2,0,1,0,1,0,2021,4,4,,,,,,5,,,
"1800 BLOCK WEST ST PITTSBURGH, PA 15120",2,0,2,0,0,0,2017,1,2,,,,42003484600,,OSC,,40.3998285360978,-79.905931821222
"1300 BLOCK W NORTH AVE PITTSBURGH, PA 15233",2,0,2,0,0,0,2017,9,2,Manchester,6,21,42003210700,1,1,1-8,40.4526748946748,-80.024333828767
"700 BLOCK LENORA ST PITTSBURGH, PA 15206",2,0,2,0,0,0,2021,6,4,,,,,,5,,,
"<100 BLOCK BLANFORD CT PITTSBURGH, PA 15206",2,0,2,0,0,0,2015,5,6,,,,,,5,,,
"E CARSON ST & S 24TH ST PITTSBURGH, PA 15203",2,0,2,0,0,0,2019,4,2,South Side Flats,3,16,42003160900,3,3,4-24,40.428219200708,-79.9711707855979
"2100 BLOCK E CARSON ST PITTSBURGH, PA 15203",2,0,1,1,0,0,2020,1,4,,,,,,3,,,
"CALIFORNIA AVE & BENTON AVE PITTSBURGH, PA 15212",2,0,2,0,0,0,2017,9,3,Brighton Heights,1,27,42003270100,1,1,1-14,40.4843927797056,-80.0404817697444
"FRANKSTOWN AVE & N LANG AVE PITTSBURGH, PA 15208",2,0,2,0,0,0,2017,9,3,Homewood South,9,13,42003130300,2,5,3-17,40.4579137505913,-79.8985316667264
"1900 BLOCK ARLINGTON AVE PITTSBURGH, PA 15210",2,0,0,2,0,0,2015,5,3,Arlington,3,16,42003561600,3,3,4-22,40.4175120788998,-79.9805121134754
"WILSON AVE & N CHARLES ST PITTSBURGH, PA 15214",2,0,1,1,0,0,2016,5,5,Perry South,6,26,42003261400,1,1,1-12,40.4692047295759,-80.0145804614301
"300 BLOCK 39TH ST PITTSBURGH, PA 15201",2,0,2,0,0,0,2019,7,5,Lower Lawrenceville,7,6,42003060300,2,2,3-3,40.465089849724,-79.9609417484938
"6200 BLOCK PENN AVE PITTSBURGH, PA 15206",2,0,1,1,0,0,2021,10,5,Shadyside,8,7,42003070800,2,4,3-11,40.4601393368172,-79.92259331497
"<100 BLOCK BRIGGS ST PITTSBURGH, PA 15234",2,0,2,0,0,0,2020,8,4,,,,,,3,,,
"FARGO WAY & MCKEE ST PITTSBURGH, PA 15221",2,0,1,0,1,0,2021,9,4,,,,,,5,,,
"FULTON ST & STEDMAN ST PITTSBURGH, PA 15233",2,0,2,0,0,0,2018,11,4,Manchester,6,21,42003210700,1,1,1-8,40.4538786427516,-80.0246087871495
"600 BLOCK N HOMEWOOD AVE PITTSBURGH, PA 15208",2,0,2,0,0,0,2016,11,4,Homewood South,9,13,42003130300,2,5,3-17,40.4546566786141,-79.8975016521236
"1400 BLOCK 5TH AVE PITTSBURGH, PA 15219",2,0,2,0,0,0,2017,1,6,Bluff,6,1,42003010300,3,2,2-4,40.4383779130496,-79.9863133607321
